Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
22/06/2017;0,64;0,31;1;13;15;70;77;33;3;7;0,78
21/06/2017;1;0,89;2;19;21;113;109;38;4;9;1,91
20/06/2017;1,04;0,6;3;24;30;98;101;32;3;11;1,67
19/06/2017;;;;;;;;34;;;
18/06/2017;0,66;0,36;2;14;17;83;83;28;3;7;0,55
17/06/2017;0,59;1,34;2;11;14;60;56;26;2;8;0,67
16/06/2017;0,82;0,61;3;18;22;49;51;26;2;10;1,15
15/06/2017;0,61;0,27;1;12;14;63;64;18;2;5;0,33
14/06/2017;0,75;0,52;2;16;20;54;50;32;2;7;0,74
13/06/2017;0,98;1,17;5;20;28;44;46;28;3;7;1,42
12/06/2017;0,74;0,24;3;18;23;43;42;20;2;6;0,55
11/06/2017;0,55;0,37;1;9;12;57;60;30;2;6;0,72
10/06/2017;0,83;0,94;2;10;14;47;43;23;2;5;1,1
09/06/2017;0,72;1,32;3;11;15;42;46;18;2;6;0,85
08/06/2017;1,19;1,57;2;15;18;65;63;31;3;6;2,26
07/06/2017;0,99;1,14;3;15;19;55;56;30;1;7;1,08
06/06/2017;0,62;0,23;1;8;10;68;69;22;1;3;0,39
05/06/2017;;;;;;;;14;;;
04/06/2017;1,04;0,41;1;9;11;51;51;12;1;2;1,13
03/06/2017;0,74;0,28;1;9;11;53;55;15;1;2;0,64
02/06/2017;0,6;0,14;1;12;14;64;64;20;1;2;0,53
01/06/2017;0,95;0,74;7;16;27;53;52;23;2;6;1,35
31/05/2017;1,18;0,67;3;14;19;45;45;17;1;3;2,05
30/05/2017;0,77;0,64;2;16;19;58;62;10;1;2;1,04
29/05/2017;0,55;0,58;2;16;19;66;65;17;1;1;0,45
28/05/2017;1,17;1,62;2;16;19;62;63;35;1;4;2,32
27/05/2017;0,96;1;2;15;18;71;71;29;1;3;2,24
26/05/2017;1,44;1,04;2;13;16;93;99;26;1;2;2,49
25/05/2017;0,98;1,96;4;21;26;87;;36;4;7;3,06
24/05/2017;0,95;1,4;3;18;22;62;60;28;5;10;2,45
23/05/2017;0,94;0,49;2;10;14;59;63;22;4;9;1,6
22/05/2017;0,67;0,49;2;10;13;80;82;32;4;7;0,85
21/05/2017;1,39;1,88;3;15;19;68;62;17;5;12;2,85
20/05/2017;0,59;0,34;1;9;10;65;67;11;4;7;0,64
19/05/2017;0,65;0,28;1;9;11;70;74;14;4;6;0,76
18/05/2017;0,84;0,15;1;7;9;79;72;9;4;6;1,44
17/05/2017;1,06;0,98;2;23;27;57;64;21;4;10;2,09
16/05/2017;1,45;1,72;4;20;26;77;73;25;3;13;2,15
15/05/2017;0,8;0,66;2;16;19;71;69;18;3;9;1,38
14/05/2017;0,78;0,39;2;12;15;59;60;15;3;9;1,04
13/05/2017;1,11;0,57;1;11;13;68;69;13;4;7;1,44
12/05/2017;1,14;1,85;2;10;12;77;79;11;5;5;2,73
11/05/2017;0,94;1,22;2;10;13;88;86;9;6;6;2,13
10/05/2017;1,87;1,23;3;23;27;69;66;28;5;9;2,39
09/05/2017;1,45;0,54;2;23;26;59;59;25;4;7;1,71
08/05/2017;1,04;0,61;3;18;23;53;55;15;4;5;0,69
07/05/2017;0,92;0,84;2;12;15;65;66;14;3;;0,47
06/05/2017;1,25;1,17;1;10;12;75;75;15;3;4;0,92
05/05/2017;1,54;1,97;2;20;23;74;73;27;5;8;2,36
04/05/2017;1,85;1,65;6;24;34;64;65;30;4;9;2,88
03/05/2017;0,78;0,78;3;13;17;55;55;16;3;5;1,61
02/05/2017;0,61;0,21;1;9;11;74;74;17;2;4;0,47
01/05/2017;0,8;0,44;1;11;13;76;82;23;3;5;0,65
30/04/2017;1,12;0,54;1;7;9;94;91;14;4;4;1,11
29/04/2017;1,81;1,29;1;11;14;76;76;16;4;6;2,51
28/04/2017;1,32;1,14;3;16;21;67;66;15;3;9;1,96
27/04/2017;0,87;0,56;2;12;16;69;70;12;3;6;1,16
26/04/2017;;;;;;;;14;;;
25/04/2017;0,87;0,4;2;18;21;68;66;21;5;11;1,09
24/04/2017;1;0,58;4;17;23;72;72;22;5;13;1,12
23/04/2017;0,78;0,37;2;15;18;87;91;23;5;14;1,05
22/04/2017;1,55;1,53;1;12;14;108;106;29;4;9;2,89
21/04/2017;1,76;1,14;5;26;33;80;80;30;4;13;1,69
20/04/2017;1,71;0,62;2;14;17;82;84;23;4;11;1,54
19/04/2017;1,88;0,87;2;13;16;91;89;24;4;11;1,87
