Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/05/2017;0,13;0,23;0,22;0,05;7;24;34;0,37;15;2;1
30/05/2017;0,12;0,31;0,32;0,08;4;20;25;0,47;10;2;0,97
29/05/2017;0,13;0,3;0,3;0,02;3;18;23;0,18;13;2;0,5
28/05/2017;0,2;0,34;0,34;0,04;5;21;29;0,3;23;2;0,67
27/05/2017;0,11;0,35;0,33;0,19;7;40;51;0,8;28;3;1,3
26/05/2017;0,13;0,3;0,33;0,2;9;36;49;0,79;25;5;1,38
25/05/2017;0,07;0,31;0,32;0,3;14;38;59;0,98;28;3;2,09
24/05/2017;0,15;0,3;0,27;0,21;9;38;51;0,97;22;3;1,83
23/05/2017;0,13;0,17;0,17;0,01;4;16;22;0,2;19;4;0,52
22/05/2017;0,12;0,29;0,3;0,05;5;19;27;0,33;28;4;0,77
21/05/2017;0,15;0,27;0,26;0,12;11;35;52;0,55;15;8;1,15
20/05/2017;0,12;0,22;0,21;0,1;13;29;48;0,46;14;5;0,85
19/05/2017;0,12;0,18;0,17;0,08;11;26;42;0,46;14;4;0,95
18/05/2017;0,13;0,15;0,17;0,05;3;20;25;0,32;11;4;1,15
17/05/2017;0,37;0,27;0,33;0,22;9;38;52;0,93;21;6;1,94
16/05/2017;0,2;0,44;0,43;0,55;16;43;67;1,92;27;10;2,82
15/05/2017;0,24;0,36;0,32;0,21;13;39;59;0,86;19;10;1,43
14/05/2017;0,14;0,27;0,26;0,05;4;23;30;0,32;11;6;0,73
13/05/2017;0,16;0,24;0,24;0,04;3;19;24;0,28;9;3;0,62
12/05/2017;0,15;0,18;0,16;0,03;4;22;29;0,32;7;2;0,59
11/05/2017;;0,15;0,18;;4;18;24;;4;2;
10/05/2017;;0,37;0,37;;15;39;63;;;;
09/05/2017;0,13;0,31;;0,27;9;37;50;0,95;23;8;1,98
08/05/2017;0,16;0,25;0,25;0,17;13;30;50;0,69;15;10;1,59
07/05/2017;0,18;0,21;0,23;0,07;6;22;31;0,36;12;8;0,61
06/05/2017;0,18;0,19;0,18;0,03;3;18;22;0,23;9;3;0,46
05/05/2017;0,23;0,29;0,3;0,22;13;41;60;0,89;23;6;1,65
04/05/2017;0,15;0,23;0,23;0,17;8;30;43;0,66;15;5;1,36
03/05/2017;0,24;0,27;0,27;0,12;10;27;42;0,5;20;7;1,22
02/05/2017;0,21;0,3;0,3;0,14;18;29;57;0,63;16;6;1,33
01/05/2017;0,18;0,22;0,22;0,06;6;28;37;0,33;12;5;0,61
