Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);O3 (µg/m3)
16/06/2015;0,18;0,2;0,2;0,17;6;22;31;0,22;11;5;0,58;
15/06/2015;0,26;0,25;0,26;0,2;6;24;33;0,34;13;4;0,99;
14/06/2015;0,26;0,26;0,27;0,17;6;20;29;0,27;14;6;0,47;
13/06/2015;0,37;0,37;0,37;0,19;7;23;34;0,37;14;4;0,73;
12/06/2015;0,39;0,44;0,43;0,19;7;29;40;0,37;23;4;0,89;
11/06/2015;0,33;0,34;0,36;0,32;12;41;60;0,7;23;4;1,48;
10/06/2015;0,42;0,41;0,41;0,41;14;51;73;0,91;27;5;2,24;
09/06/2015;0,34;0,43;0,43;0,34;12;35;54;0,59;32;7;1,33;
08/06/2015;0,44;0,41;0,41;0,23;8;24;37;0,42;30;5;1;
07/06/2015;0,29;0,31;0,28;0,16;5;14;22;0,22;20;3;0,48;
06/06/2015;0,24;0,27;0,28;0,19;5;16;24;0,31;16;3;0,56;
05/06/2015;0,29;0,35;0,37;0,3;15;29;52;0,71;29;5;1,31;
04/06/2015;0,35;0,34;0,31;0,81;18;42;70;2,29;29;4;2,01;
03/06/2015;0,23;0,29;0,31;0,56;6;22;32;1,57;17;2;4,3;
02/06/2015;0,16;0,29;0,31;0,39;10;25;40;1,38;20;3;3,57;
01/06/2015;0,17;0,36;0,36;0,28;11;27;43;1,06;17;3;1,38;
31/05/2015;0,16;0,31;0,31;0,2;10;24;40;0,67;20;8;0,6;
30/05/2015;0,16;0,31;0,29;0,21;13;30;51;0,8;20;7;0,78;
29/05/2015;;0,23;0,24;;6;20;29;0,53;12;2;0,54;
28/05/2015;0,09;;;0,41;15;32;55;2,16;22;5;2,08;
27/05/2015;0,11;;;0,14;8;27;40;1,27;19;4;1,71;
26/05/2015;0,12;;;0,07;7;22;32;0,72;18;4;1,13;
25/05/2015;0,06;0,26;0,26;0;6;16;25;0,36;12;3;0,59;
24/05/2015;0,04;0,19;0,19;0;5;12;20;0,32;11;4;0,51;
23/05/2015;0,15;0,33;0,34;0,08;7;19;29;0,72;15;5;0,93;
22/05/2015;0,1;0,24;0,29;0,03;8;24;35;0,71;18;4;1,32;
21/05/2015;0,12;0,32;0,3;0,07;10;27;43;0,8;13;4;1,19;
20/05/2015;0,07;0,26;0,22;0,08;7;26;37;0,91;12;5;1,5;
19/05/2015;0,09;0,21;0,2;0,07;6;24;34;0,81;13;5;1,15;
18/05/2015;0,15;0,26;0,27;0,27;21;26;58;1,84;22;7;1,94;
17/05/2015;0,07;0,2;0,2;0,01;5;14;22;0,4;11;3;0,75;
16/05/2015;0,08;0,22;0,2;0,02;6;18;27;0,5;14;5;0,86;
15/05/2015;0,05;0,22;0,21;0,04;7;23;34;0,68;9;4;0,92;
14/05/2015;0,09;;;0,06;7;23;34;0,87;22;6;1,2;
13/05/2015;0,3;;;0,34;9;29;43;2,02;33;6;2,9;
12/05/2015;0,17;;;0,2;5;23;31;1,41;37;9;1,75;
11/05/2015;0,23;0,42;0,41;0,13;5;19;26;1,08;39;4;1,52;
10/05/2015;0,15;0,33;0,31;0,12;9;24;39;1,09;25;10;1,62;
09/05/2015;0,15;0,33;0,36;0,21;5;22;30;1,41;20;5;1,79;
08/05/2015;0,21;0,34;0,32;0,18;6;23;33;1,39;18;5;1,82;
07/05/2015;0,28;0,31;0,3;0,87;19;49;79;4,16;24;8;6,24;
06/05/2015;0,2;0,3;0,3;;8;20;32;1,34;18;5;1,69;
05/05/2015;;0,23;0,21;;5;18;25;0,79;16;4;1,04;
04/05/2015;;0,28;0,37;;20;30;61;2,35;19;3;3,28;
03/05/2015;0,15;0,33;0,28;0,01;4;16;22;0,61;18;3;1,06;
02/05/2015;0,08;0,29;0,29;0,18;15;21;44;1,54;19;3;2,28;
01/05/2015;0,08;0,24;0,23;0,01;3;10;15;0,44;10;3;0,78;
30/04/2015;0,19;0,29;0,3;0,46;12;34;53;2,51;22;9;3,23;
29/04/2015;0,31;0,35;0,34;0,59;15;32;56;2,96;23;11;3,39;
28/04/2015;0,23;0,3;0,33;0,17;8;23;36;1,01;21;4;1,27;
27/04/2015;0,31;0,25;0,21;0,06;4;17;23;0,57;11;4;1,1;
26/04/2015;0,04;0,2;0,22;0;4;17;22;0,45;10;4;0,81;
25/04/2015;0,37;0,38;0,43;0,36;8;26;38;2,03;20;5;2,39;
24/04/2015;0,47;0,46;0,42;0,73;20;39;70;3,4;35;10;3,98;
23/04/2015;0,16;0,3;0,3;0,32;8;28;40;1,85;21;5;2,32;
22/04/2015;0,18;0,26;0,27;0,21;8;33;46;1,49;20;5;2,12;
21/04/2015;0,38;0,36;0,37;0,71;21;43;75;3,33;35;11;4,2;
20/04/2015;0,46;0,33;0,32;0,29;13;31;51;1,88;26;12;2,33;
19/04/2015;0,2;0,27;0,27;0,16;5;21;29;1,07;15;6;1,41;
18/04/2015;0,27;0,28;0,28;0,25;7;24;35;1,53;23;6;1,83;
17/04/2015;0,17;;;0,36;;;;2,08;28;6;2,41;
16/04/2015;0,3;;;0,53;;;;2,57;34;7;3,19;
15/04/2015;0,12;;;0,33;;;;1,97;25;5;2,66;
14/04/2015;0,28;;;0,72;;;;3,58;38;12;3,85;
13/04/2015;0,29;0,31;0,31;0,6;13;57;76;3,16;42;9;3,63;
12/04/2015;0,29;0,32;0,31;0,32;11;39;55;2;29;11;2,5;
11/04/2015;0,26;0,32;0,36;0,25;7;30;41;1,54;19;5;2,65;
10/04/2015;0,3;0,36;0,32;0,19;7;34;46;1,44;18;5;4,05;
09/04/2015;0,26;0,25;0,26;0,38;9;44;58;2,13;21;5;5,56;
08/04/2015;0,22;0,27;0,28;0,18;8;38;51;1,41;15;5;4,23;
07/04/2015;0,35;0,37;0,37;0,44;25;52;91;2,43;25;12;3,31;
06/04/2015;0,27;0,31;0,3;0,13;11;31;49;1,01;21;10;1,32;
05/04/2015;0,15;0,26;0,25;0,02;4;19;25;0,38;10;4;0,74;
04/04/2015;0,07;0,22;0,22;0,02;3;16;21;0,26;10;5;0,51;
03/04/2015;0,19;0,29;0,3;0,18;12;26;45;1,15;21;15;1,34;
02/04/2015;0,22;0,26;0,25;0,23;10;32;48;1,56;23;12;1,86;
01/04/2015;0,13;0,22;0,22;0,05;4;21;28;0,56;29;3;0,83;
31/03/2015;0,3;0,24;0,23;0,07;5;24;32;0,93;22;7;1,19;
30/03/2015;0,19;0,27;0,3;0,19;13;30;50;1,45;27;10;1,6;
29/03/2015;0,37;0,37;0,38;0,52;22;42;75;2,71;24;9;2,99;
28/03/2015;0,28;0,29;0,26;0,21;9;28;42;1,37;23;6;1,49;
27/03/2015;0,17;0,27;0,26;0,19;13;41;62;1,3;14;7;2;
26/03/2015;0,29;0,32;0,32;0,37;23;48;82;2,16;13;7;2,75;
25/03/2015;0,34;0,23;0,22;0,07;5;28;35;0,93;11;5;1,54;
24/03/2015;0,44;0,35;0,37;0,44;18;44;72;2,34;16;5;2,85;
23/03/2015;0,41;0,34;0,33;0,6;20;62;93;2,93;14;5;4,88;
22/03/2015;0,27;0,3;0,32;0;3;14;19;0,24;18;3;1,58;
21/03/2015;0,54;0,4;0,38;0,23;5;36;45;1,43;21;5;10,06;
20/03/2015;0,52;0,39;0,41;0,01;4;22;28;0,5;38;3;5,81;
19/03/2015;0,47;0,43;0,47;0,44;11;36;54;2,32;26;7;2,55;
18/03/2015;0,57;0,53;0,51;0,94;31;67;115;4,23;33;13;5,35;
17/03/2015;0,46;0,39;0,39;0,6;22;66;100;3,03;27;10;3,5;
16/03/2015;0,51;0,43;0,43;0,46;31;55;102;2,32;33;10;2,7;
15/03/2015;0,42;0,34;0,32;0,16;10;38;53;1,11;23;5;1,62;
14/03/2015;0,28;0,3;0,26;0,06;4;25;31;0,71;16;5;1,28;
13/03/2015;0,22;0,24;0,26;0,16;5;31;39;1,16;24;6;1,81;
12/03/2015;0,45;0,36;0,37;0,57;20;42;72;2,64;47;7;3,67;
11/03/2015;0,76;0,55;0,56;0,72;23;50;85;3,41;57;11;8,02;
10/03/2015;0,59;0,45;0,43;0,94;36;59;114;4,1;41;21;4,44;
09/03/2015;0,45;0,42;0,44;0,66;26;60;100;3,1;39;14;3,57;
08/03/2015;0,51;0,47;0,48;0,36;23;43;78;1,92;30;18;2,79;
07/03/2015;0,57;0,46;0,47;0,75;40;55;116;3,47;32;19;4,62;
