Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
02/03/2014;0,3;7;14;24;53;11;5;5;
01/03/2014;0,26;6;14;24;59;18;5;5;
28/02/2014;0,3;5;13;21;68;46;18;5;
27/02/2014;0,3;6;20;29;56;45;17;6;
26/02/2014;0,28;8;19;31;61;32;8;6;
25/02/2014;0,23;5;8;16;77;21;5;6;
24/02/2014;0,23;5;17;25;67;22;8;5;
23/02/2014;0,24;4;11;18;71;13;7;5;
22/02/2014;0,25;6;18;27;56;36;9;6;
21/02/2014;0,26;6;17;26;67;31;7;6;
20/02/2014;0,25;8;17;28;54;16;6;6;
19/02/2014;0,33;7;24;35;46;28;10;6;
18/02/2014;0,42;18;29;56;42;41;15;8;
17/02/2014;0,18;5;10;17;72;11;4;6;
16/02/2014;0,39;6;22;31;47;36;13;7;
15/02/2014;0,26;6;15;24;62;47;10;5;
14/02/2014;0,19;4;6;12;63;20;5;5;
13/02/2014;0,25;6;16;24;67;57;19;6;
12/02/2014;0,3;4;18;25;59;23;7;6;
11/02/2014;0,19;3;10;15;76;42;6;5;
10/02/2014;0,26;2;8;10;83;28;7;5;
09/02/2014;0,24;5;12;20;68;28;7;5;
08/02/2014;0,18;3;14;18;70;48;10;6;
07/02/2014;0,2;2;12;15;71;23;5;5;
06/02/2014;0,19;1;8;9;71;25;6;5;
05/02/2014;0,26;5;20;27;65;61;14;6;
04/02/2014;0,18;4;9;16;73;9;2;5;
03/02/2014;0,2;4;18;24;63;13;5;6;
02/02/2014;0,25;6;24;33;49;68;13;9;
01/02/2014;0,22;4;8;14;79;29;6;6;
31/01/2014;0,25;8;27;38;56;29;9;6;
30/01/2014;0,23;4;15;21;69;18;3;6;
29/01/2014;0,25;6;17;26;63;48;7;8;
28/01/2014;0,18;;;;66;;10;7;
27/01/2014;0,22;;;;82;35;7;5;
26/01/2014;0,27;3;15;19;51;21;6;7;
25/01/2014;0,21;1;5;5;66;7;1;5;
24/01/2014;0,22;1;8;10;77;29;8;5;
23/01/2014;0,22;3;7;11;77;41;7;5;
22/01/2014;0,24;4;10;16;70;19;4;6;
21/01/2014;0,3;8;24;36;46;15;6;7;
20/01/2014;0,21;3;13;17;74;17;3;8;
19/01/2014;0,28;3;12;17;63;10;4;6;
18/01/2014;0,21;8;15;28;57;14;6;6;
17/01/2014;0,18;10;12;27;66;13;4;6;
16/01/2014;0,22;9;10;24;71;14;3;5;
15/01/2014;0,32;15;22;44;45;14;6;6;
14/01/2014;0,25;;;;58;22;5;6;
13/01/2014;0,26;34;20;72;56;16;5;7;
12/01/2014;0,2;29;8;53;56;18;10;6;
11/01/2014;0,52;40;37;98;17;37;25;9;
10/01/2014;0,3;40;25;86;29;32;17;8;
09/01/2014;0,19;25;13;51;59;19;7;5;
08/01/2014;0,25;21;19;50;48;23;9;6;
07/01/2014;0,2;14;8;29;60;73;11;5;
06/01/2014;0,2;12;6;24;70;37;8;5;
05/01/2014;0,19;12;6;25;67;20;4;5;
04/01/2014;0,17;11;4;21;79;26;6;5;
03/01/2014;0,3;13;26;45;40;37;10;5;
02/01/2014;0,26;11;19;36;58;31;8;5;
01/01/2014;0,21;9;6;20;67;21;7;5;
