Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);Ortoxileno (µg/m3)
21/01/2014;0,62;1,16;6;22;31;61;10;5;1,16;1,16
20/01/2014;0,49;0,25;4;14;21;82;6;5;0,41;0,25
19/01/2014;0,64;0,87;4;18;24;65;9;10;1;0,87
18/01/2014;0,52;0,3;4;18;24;64;10;6;0,56;0,3
17/01/2014;0,42;0,34;5;13;20;76;9;5;0,51;0,34
16/01/2014;0,4;0,24;4;12;18;80;10;4;0,6;0,24
15/01/2014;0,63;2,69;16;32;56;52;20;4;4,34;2,69
14/01/2014;0,46;0,54;5;21;29;64;11;5;0,55;0,54
13/01/2014;0,43;0,49;5;20;28;69;8;6;0,62;0,49
12/01/2014;0,45;0,2;3;10;15;65;20;6;0,45;0,2
11/01/2014;1,81;6,19;30;52;98;12;54;11;6,61;6,19
10/01/2014;1,38;4,73;25;48;87;14;38;13;7,59;4,73
09/01/2014;0,51;0,85;5;29;37;55;15;6;1,25;0,85
08/01/2014;0,41;0,8;5;18;26;61;12;5;1,07;0,8
07/01/2014;0,32;0,55;4;11;17;68;6;5;0,5;0,55
06/01/2014;0,31;0,08;3;9;14;79;8;5;0,19;0,08
05/01/2014;0,37;0,01;3;7;12;78;7;6;0,18;0,01
04/01/2014;0,44;0,14;4;12;18;82;12;10;0,25;0,14
03/01/2014;0,78;2,4;14;44;66;38;21;4;2,56;2,4
02/01/2014;0,57;1,59;25;27;66;64;25;8;1,57;1,59
01/01/2014;0,39;0,28;3;11;17;73;12;5;0,5;0,28
