Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
17/02/2021;0,2;0,23;3;13;44;24;19;8;6
16/02/2021;0,21;0,19;3;10;44;30;22;8;5
15/02/2021;0,17;0,17;3;4;19;13;11;5;4
14/02/2021;0,19;0,2;3;2;16;13;12;7;6
13/02/2021;0,3;0,31;3;8;42;30;25;11;7
12/02/2021;0,23;0,23;;;;;19;6;5
11/02/2021;0,27;0,25;;;;;21;8;7
10/02/2021;0,26;0,24;;5;28;21;17;5;8
09/02/2021;0,16;0,17;1;3;14;10;6;2;4
08/02/2021;0,22;0,2;1;12;41;23;12;4;5
07/02/2021;0,19;0,19;1;1;8;8;10;3;5
06/02/2021;0,21;0,21;2;1;12;11;13;5;4
05/02/2021;0,25;0,25;4;16;52;28;18;8;6
04/02/2021;0,22;0,21;2;12;52;35;18;6;7
03/02/2021;0,14;0,13;2;5;23;16;16;5;6
02/02/2021;0,15;0,18;2;3;14;10;6;2;4
01/02/2021;0,22;0,2;3;5;27;20;39;10;7
31/01/2021;0,2;0,19;2;4;17;11;12;5;7
30/01/2021;0,18;0,2;3;3;16;11;8;5;7
29/01/2021;0,35;0,33;6;47;104;32;27;12;7
28/01/2021;0,29;0,3;5;45;103;35;28;12;6
27/01/2021;0,29;0,29;3;24;75;39;25;8;5
26/01/2021;0,26;0,24;1;16;60;36;15;6;5
25/01/2021;0,26;0,26;2;24;67;30;16;7;6
24/01/2021;0,2;0,2;1;3;17;13;9;3;6
23/01/2021;0,2;0,19;1;3;19;15;12;3;4
22/01/2021;0,19;0,18;2;5;30;22;10;4;6
21/01/2021;0,14;0,14;2;3;11;7;5;2;3
20/01/2021;0,16;0,15;3;4;16;11;11;4;4
19/01/2021;0,14;0,17;2;5;23;15;4;4;5
18/01/2021;0,42;0,46;3;36;98;44;20;11;6
17/01/2021;0,33;0,31;2;9;43;31;11;8;10
16/01/2021;0,26;0,25;1;11;44;28;19;10;11
15/01/2021;0,19;0,18;3;8;42;31;;12;6
14/01/2021;0,24;0,27;5;13;55;36;12;7;6
13/01/2021;0,31;0,28;4;35;99;47;22;12;7
12/01/2021;0,33;0,35;3;34;100;49;24;14;6
11/01/2021;0,25;0,23;3;15;58;35;14;8;4
10/01/2021;0,26;0,27;3;4;23;17;6;7;5
09/01/2021;0,32;0,35;4;12;46;28;14;12;5
08/01/2021;0,39;0,36;2;52;125;46;24;15;7
07/01/2021;0,37;0,36;1;34;87;35;15;12;6
06/01/2021;0,3;0,3;1;7;35;24;11;11;7
05/01/2021;0,38;0,36;1;18;63;36;9;8;5
04/01/2021;0,21;0,2;1;5;33;26;3;4;4
03/01/2021;0,18;0,19;0;2;15;13;2;2;4
02/01/2021;0,2;0,19;1;3;18;13;5;3;4
01/01/2021;0,15;0,15;0;1;8;7;3;3;4
