Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
28/04/2021;;;1;14;12;;;18;;2;
27/04/2021;;;2;11;10;;;10;;1;
26/04/2021;;;6;32;22;;;14;;0;
25/04/2021;;;1;5;4;;;7;;2;
24/04/2021;;;1;6;5;;;10;;2;
23/04/2021;;;1;10;8;;;8;;2;
22/04/2021;;;1;13;12;;;10;;3;
21/04/2021;;;4;25;20;;;19;;5;
20/04/2021;;;9;41;28;;;19;;5;
19/04/2021;;;12;49;31;;;26;;3;
18/04/2021;;;1;12;11;;;16;;7;
17/04/2021;;;1;8;7;;;12;;4;
16/04/2021;;;7;26;16;;;13;;5;
15/04/2021;;;6;25;17;;;16;;4;
14/04/2021;;;9;35;21;;;15;;3;
13/04/2021;;;12;42;23;;;14;;3;
12/04/2021;;;6;28;19;;;7;;3;
11/04/2021;;;1;5;4;;;7;;2;
10/04/2021;;;1;12;10;;;9;;0;
09/04/2021;;;2;17;15;;;14;;2;
08/04/2021;;;1;17;16;;;16;;4;
07/04/2021;;;2;19;16;;;9;;3;
06/04/2021;;;1;9;8;;;10;;1;
05/04/2021;;;2;13;11;;;16;;4;
04/04/2021;;;1;6;5;;;16;;4;
03/04/2021;;;1;6;5;;;23;;3;
02/04/2021;;;2;15;12;;;35;;3;
01/04/2021;;;1;11;10;;;25;;0;
31/03/2021;;;1;10;9;;;33;;1;
30/03/2021;;;1;11;10;;;27;;3;
29/03/2021;;;1;10;9;;;18;;2;
28/03/2021;;;3;28;24;;;25;;5;
27/03/2021;;;1;17;16;;;14;;5;
26/03/2021;;;5;24;17;;;16;;5;
25/03/2021;;;7;29;19;;;14;;4;
24/03/2021;;;14;49;27;;;21;;9;
23/03/2021;;;12;52;34;;;21;;3;
22/03/2021;;;2;18;15;;;13;;1;
21/03/2021;;;0;6;5;;;11;;3;
20/03/2021;;;0;6;5;;;10;;2;
19/03/2021;;;1;5;4;;;7;;1;
18/03/2021;;;1;10;8;;;11;;0;
17/03/2021;;;1;10;8;;;9;;0;
16/03/2021;;;1;12;11;;;12;;2;
15/03/2021;;;4;21;15;;;15;;7;
14/03/2021;;;1;6;5;;;13;;9;
13/03/2021;;;1;13;11;;;11;;11;
12/03/2021;;;2;17;14;;;12;;6;
11/03/2021;;;5;32;25;;;14;;12;
10/03/2021;;;10;62;47;;;22;;4;
09/03/2021;;;3;24;20;;;18;;0;
08/03/2021;;;3;19;15;;;18;;3;
07/03/2021;;;2;20;17;;;20;;2;
06/03/2021;;;1;9;7;;;16;;2;
05/03/2021;;;12;37;19;;;37;;2;
04/03/2021;;;3;23;19;;;45;;2;
03/03/2021;;;2;15;13;;;39;;3;
02/03/2021;;;2;9;7;;;30;;3;
01/03/2021;;;1;9;7;;;18;;1;
28/02/2021;;;2;15;13;;;17;;2;
27/02/2021;;;1;7;6;;;17;;5;
26/02/2021;;;3;16;12;;;16;;5;
25/02/2021;;;3;17;12;;;28;;5;
24/02/2021;;;2;11;9;;;18;;5;
23/02/2021;;;1;11;10;;;6;;5;
22/02/2021;;;2;23;20;;;18;;7;
21/02/2021;;;1;7;6;;;30;;3;
20/02/2021;;;2;13;11;;;16;;2;
19/02/2021;;;2;9;7;;;51;;5;
18/02/2021;;;2;23;19;;;16;;3;
17/02/2021;;;1;11;9;;;7;;1;
16/02/2021;;;3;28;24;;;12;;4;
15/02/2021;;;1;8;6;;;5;;5;
14/02/2021;;;2;16;13;;;10;;8;
13/02/2021;;;7;39;29;;;19;;9;
12/02/2021;;;3;18;13;;;9;;11;
11/02/2021;;;3;25;21;;;5;;8;
10/02/2021;;;3;18;14;;;9;;20;
09/02/2021;;;2;8;5;;;2;;5;
08/02/2021;;;4;19;13;;;5;;3;
07/02/2021;;;1;5;3;;;3;;4;
06/02/2021;;;1;6;4;;;6;;2;
05/02/2021;;;8;38;27;;;12;;0;
04/02/2021;;;2;18;15;;;5;;3;
03/02/2021;;;4;20;15;;;8;;6;
02/02/2021;;;1;6;3;;;4;;5;
01/02/2021;;;3;26;22;;;21;;28;
31/01/2021;;;2;16;14;;;10;;21;
30/01/2021;;;2;13;11;;;8;;13;
29/01/2021;;;30;78;32;;;14;;3;
28/01/2021;0,27;1,09;26;66;26;23;19;18;5;4;2,01
27/01/2021;0,21;0,78;11;44;28;25;25;10;4;5;1,36
26/01/2021;0,29;0,66;19;61;33;20;25;11;5;5;1,21
25/01/2021;0,25;0,41;12;43;24;51;;7;;5;0,71
24/01/2021;0,17;0,14;1;7;5;71;71;4;5;7;0,27
23/01/2021;0,19;0,17;1;10;8;63;64;6;5;4;0,29
22/01/2021;0,18;0,11;2;10;8;;;4;5;6;0,21
21/01/2021;0,17;0,24;1;5;3;;;5;5;3;0,47
20/01/2021;0,17;0,15;1;7;6;;;7;5;0;0,28
